Startup,Industry,Sub Vertical,City,Investors,Investment Type,Investment Amount($),Date
Grab,Logistics,hyperlocal logistics service,Mumbai,Aramex Ventures Llc,Private Equity,2000000.0,2016-04-07
Fulfil.IO,Consumer Internet,Cloud Based ERP Software,United States,Rajan Anandan,Seed Funding,20770463.751474757,2016-04-07
NeoGrowth,Finance,SME Lending platform,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,16000000.0,2016-04-07
SeeDoc,Consumer Internet,Video Based Doctor Consulting platform App,Gurugram,YourNest Angel Fund' & Others,Private Equity,1000000.0,2016-05-07
BookMyShow,Consumer Internet,Event & Movie Ticketing platform,Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,82000000.0,2016-05-07
Flyrobe,E-commerce,Online fashion rental platform,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath, Abhishek Jain",Seed Funding,1700000.0,2016-05-07
HappilyUnmarried,E-commerce,Online Merchandize etailer,Delhi,Info Edge (India) Ltd,Private Equity,740000.0,2016-06-07
Don Scratch Your Head,Technology,Full Stack Offline & Online ERP Solution,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,250000.0,2016-06-07
Wedding Wishlist,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform",Chennai,"Kirthiga Reddy, Renuka Ramanath, Cherry Tin",Seed Funding,297000.0,2016-06-07
AppDaily,Technology,Mobile Security App development & Distribution,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund",Private Equity,2000000.0,2016-07-07
Adytude,Consumer Internet,Gamified Consumer Insights Portal,Delhi,Indian Angel Network,Private Equity,1000000.0,2016-07-07
Quickli,Logistics,On-Demand Delivery Startup,Gurugram,"AVG Group, 500 Startups",Private Equity,20770463.751474757,2016-07-07
SpectraVR,Technology,Virtual Reality Content Studio,Mumbai,Rothenberg Ventures,Seed Funding,20770463.751474757,2016-07-07
PitStop,Consumer Internet,Online Car Repair and Servicing Booking platform,Bengaluru,"Alex Chua, Rahul Garg",Seed Funding,1000000.0,2016-08-07
HolaChef,Consumer Internet,Online Food Ordering & Delivery Platform,Mumbai,"Kalaari Capital, India Quotient",Private Equity,1950000.0,2016-08-07
Purplle,E-commerce,Beauty Products Marketplace,Mumbai,"JSW Ventures, Blume Ventures & IvyCap Ventures",Private Equity,6000000.0,2016-11-07
Trak N Tell,Technology,Car Tracking & Safety System,Gurugram,Brian Acton,Private Equity,3500000.0,2016-11-07
Overcart,E-commerce,Unboxed & refurbished electronic products marketplace,Gurugram,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,3000000.0,2016-11-07
SirionLabs,Technology,SAAS based Service Agreement Management,Gurugram,Sequoia Capital,Private Equity,12250000.0,2016-12-07
GyanDhan,Consumer Internet,Education Focused Financing Platform,Delhi,"Stanford Angels & Entrepreneurs, Harvard Angels",Seed Funding,20770463.751474757,2016-12-07
MintM,Consumer Internet,Digital Marketing & AdTech Platform,Bengaluru,"Mumbai Angels, Times Internet",Private Equity,20770463.751474757,2016-12-07
HitGrit,Consumer Internet,Online Legal Consultation platform,Chandigarh,"Ashish Mahajan, Sarvesh Sharma",Seed Funding,20770463.751474757,2016-12-07
Find My Stay,Consumer Internet,Online Budget Hotel Aggregator & Booking Platform,Delhi,"Rishi Parti, Yogesh Bansal",Seed Funding,20770463.751474757,2016-12-07
Yaap,Consumer Internet,"Online Content Discovery, Creation & Distribution Platform",Delhi,Rainmaker Ventures,Private Equity,5000000.0,2016-07-13
Utoo Cabs,Consumer Internet,Cab aggregation & Rental platform,Chennai,Ajay Piramal,Seed Funding,20770463.751474757,2016-07-13
Twigly,Consumer Internet,Online Food Ordering & Delivery Startup,Gurugram,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding,600000.0,2016-07-13
ShareChat,Consumer Internet,Vernacular Language Content Creation & Sharing App,Bengaluru,"SAIF Partners, India Quotient",Private Equity,1350000.0,2016-07-13
Urban Tailor,Consumer Internet,E-Tailoring service provider,Bengaluru,Unitus Seed Fund,Private Equity,20770463.751474757,2016-07-13
RentMojo,Consumer Internet,Online Furniture Renting Platform,Bengaluru,"Accel Partners, IDG Ventures India",Private Equity,5000000.0,2016-07-13
CityFurnish,Consumer Internet,Online Furniture Renting Platform,Gurugram,Brand Capital,Seed Funding,20770463.751474757,2016-07-13
HEAL Institute,Healthcare,Sports Focused Healthcare Startup,Mumbai,"Jaspal Bindra, Parth Jindal",Seed Funding,20770463.751474757,2016-07-13
Augrav,E-commerce,Personalized precious Jewellery etailer,Coimbatore,Keiretsu Forum,Seed Funding,450000.0,2016-07-14
ShoppinPal,Technology,M-Commerce Solutions for Retail Stores,Pune,"Plug and Play Tech Center, Steelhead Ventures & Others",Private Equity,1070000.0,2016-07-14
TransTutors,Consumer Internet,Online Education & Tutoring portals,Delhi,500 Startups,Private Equity,20770463.751474757,2016-07-14
WorkApps,Technology,Enterprise Work Management Software,Pune,SRI Capital,Seed Funding,1000000.0,2016-07-15
BankerBay,Consumer Internet,Online Investment Banking platform,Bengaluru,Undisclosed Investors,Private Equity,2000000.0,2016-07-15
BaggOut,E-commerce,Women xe2 x80 x99s Fashion etailer,Delhi,"Sumit Jain, Anurag Gupta, Varun Khanna, Faraz Khan",Seed Funding,20770463.751474757,2016-07-15
TripShelf,E-commerce,Travel Package Marketplace,Delhi,GEMS group,Seed Funding,250000.0,2016-07-15
SatvaCart,E-commerce,Online Grocers,Delhi,"Abhijit Avasthi, Karan Chellani, SP Vijay",Seed Funding,20770463.751474757,2016-07-15
Ridlr,Consumer Internet,Public Transport Mobile App,Mumbai,"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures",Private Equity,6000000.0,2016-07-15
Yellowdig,Consumer Internet,Online Learning Platform,Pune,SRI Capital,Seed Funding,650000.0,2016-07-18
Zuppler,Consumer Internet,Online Food Ordering platform,Delhi,SRI Capital,Seed Funding,650000.0,2016-07-18
BlueStone,E-commerce,Jewellery Etailer,Mumbai,"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments",Private Equity,30000000.0,2016-07-18
underDOGS,Technology,Game Development Startup,Mumbai,Intelli Reboot Digital Pvt. Ltd,Private Equity,20770463.751474757,2016-07-18
ImageProVision,Technology,Image Analysis Solutions,Pune,Satish Jamdar,Seed Funding,20770463.751474757,2016-07-18
Sagacito,Technology,Cloud-Based Enterprise Solutions,Delhi,Star India Pvt. Ltd,Private Equity,10000000.0,2016-07-19
Deal4Loans,Consumer Internet,Loans Comparison platform (adsbygoogle = window.adsbygoogle || []).push({});,Noida,Franklin Templeton International Services Pvt. Ltd,Private Equity,15000000.0,2016-07-19
NiYO Solutions,Technology,Payroll & Benefits Software solutions,Bengaluru,Prime Venture Partners,Private Equity,1000000.0,2016-07-19
AppLop,Consumer Internet,Mobile Apps SaaS Platform,Gurugram,Green House Ventures Accelerator,Seed Funding,250000.0,2016-07-19
Tax2Win,Consumer Internet,Online Tax Filing Portal,Jaipur,Undisclosed Investors,Private Equity,1000000.0,2016-07-20
Truckola,Logistics,Tech-focused cargo transport startup,Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",Seed Funding,595000.0,2016-07-20
iServe Financial,Consumer Internet,Loan Comparison & Deals platform,Pune,Nilesh Shah,Seed Funding,20770463.751474757,2016-07-20
MyTaxiIndia,Consumer Internet,Online Car rental booking platform,Delhi,Nihon Kotsu Co,Private Equity,1000000.0,2016-07-21
AbeRuk,E-commerce,Online Marketplace for books,Bengaluru,Swastika Company Pvt Ltd,Seed Funding,20770463.751474757,2016-07-21
Wiwigo,Consumer Internet,Inter-City Taxi Booking platform,Bengaluru,Indian Angel Network,Seed Funding,595000.0,2016-07-21
Drums Food,Food & Beverage,Yogurt and Ice Cream maker,Mumbai,"Verlinvest, DSG Consumer Partners",Not Know,20770463.751474757,2016-07-21
Chikoop,Consumer Internet,Free Ad based Voice Calling,Indore,Undisclosed Investors,Seed Funding,20770463.751474757,2016-01-06
BRIDGEi2I,Technology,Data Analytics Platform,Bengaluru,Edelweiss Private Equity,Private Equity,20770463.751474757,2016-01-06
Droom,E-commerce,Online marketplace for used automobiles,Delhi,"Beenext, Digital Garage, Lightbox, Beenos",Private Equity,11500000.0,2016-02-06
Visit,Consumer Internet,On-Demand Healthcare Service provider,Delhi,MapmyIndia,Seed Funding,20770463.751474757,2016-02-06
Atomberg,Technology,"smart, energy efficient home appliance manufacturer",Mumbai,Parampara Capital,Private Equity,1000000.0,2016-02-06
Coutloot,E-commerce,Fashion Re-Commerce Platform,Mumbai,Venture Catalysts,Seed Funding,20770463.751474757,2016-02-06
Limo,Consumer Internet,Bus Aggregator Mobile app,Mumbai,Rainmaker Ventures,Private Equity,1000000.0,2016-02-06
iCliniq,Consumer Internet,Doctor Consultation platform,Bengaluru,MadhanKumar Madathupalayam,Seed Funding,20770463.751474757,2016-03-06
GoGo Truck,Consumer Internet,Truck Aggregator & Booking platform,Chennai,Undisclosed Investors,Seed Funding,75000.0,2016-03-06
Vyome Biosciences,Healthcare,Treatment Development for Antibiotic-resistant diseases,Delhi,Romulus Capital,Private Equity,2000000.0,2016-03-06
SillyMonks,Consumer Internet,Digital Media and Entertainment Startup,Hyderabad,Sreenivasa Reddy Musani,Seed Funding,448000.0,2016-06-06
CueMath,Education,K-12 Maths Learning Courses,Bengaluru,"Sequoia Capital, Unitus Seed Fund",Private Equity,4000000.0,2016-07-06
KrazyBee,Consumer Internet,Student Micro-Loan platform,Bengaluru,"Yeahmobi, Fenqile",Private Equity,2000000.0,2016-07-06
Intgrea,Technology,Post merger Integration Partners,Bengaluru,Undisclosed Investors,Seed Funding,100000.0,2016-07-06
HelpShift,Technology,Mobile CRM Platform,Pune,"Microsoft Ventures, Salesforce Ventures",Private Equity,23000000.0,2016-07-06
CreditVidya,Technology,Credit Scoring Platform,Mumbai,Kalaari Capital,Private Equity,1000000.0,2016-07-06
Grey Campus,Consumer Internet,Online Learning Platform,Hyderabad,Sarath Sura,Seed Funding,1000000.0,2016-08-06
ListUp,E-commerce,Location based Classified Mobile app,Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon",Seed Funding,500000.0,2016-08-06
6Degree,Technology,Tech-enabled Fashion Talent platform,Mumbai,Indian Angel Network,Seed Funding,200000.0,2016-08-06
Shopwati,Consumer Internet,Online Fashion Discussion Community,Gurugram,Sanjiv Rai,Seed Funding,20770463.751474757,2016-08-06
Cookifi,Consumer Internet,Online Chef Discovery & Booking Service,Bengaluru,"Kunal Shah, Aneesh Reddy, Tracxn Labs, Venkat Tadanki, Krishna Mehra, Amit Rathore",Seed Funding,20770463.751474757,2016-08-06
StoreKing,E-commerce,Connecting Small Town Consumers to E-Commerce,Bengaluru,Axiata Digital,Private Equity,16000000.0,2016-08-06
Wired Hub,Real Estate,Co-Working Spaces,Jaipur,"Ankit Maheshwari, Anand Singh",Seed Funding,20770463.751474757,2016-08-06
MySeniorDoctor,Consumer Internet,Online medical support platform,Gurugram,BlackJag Partners,Seed Funding,200000.0,2016-08-06
TeaBox,E-commerce,Online Tea Store,Siliguri,Cameron Jones,Seed Funding,6000000.0,2016-09-06
ExtraaEdge,Consumer Internet,Student Acquisition Platform,Pune,"Ritesh Dwivedy, Priti Padhy",Seed Funding,20770463.751474757,2016-09-06
EPayLater,Technology,Fin-Tech Platform,Mumbai,Undisclosed Investors,Seed Funding,2000000.0,2016-09-06
Kyazoonga,E-commerce,Online event ticketing Platform,Mumbai,Ratan Tata,Seed Funding,20770463.751474757,2016-10-06
Paytunes,Consumer Internet,Mobile based rewards platform,Delhi,"CIO Angel Network, Indian Angel Network",Private Equity,500000.0,2016-10-06
Kickstart Jobs,Technology,Entry level hiring platform,Gurugram,"Vivek Joshi, Mohit Satyanand, Amit Banati, Arun Khanna",Seed Funding,20770463.751474757,2016-10-06
Freshee,FMCG,Household packaging & Storage product manufacturer,Mumbai,Edelweiss Private Equity,Private Equity,20770463.751474757,2016-10-06
MadRat Games,Technology,Wearable Gaming Platform,Bengaluru,"Ratan Tata, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Girish Mathrubootham",Seed Funding,168000.0,2016-10-06
Jazzmyride,E-commerce,Auto Parts & Accessories eTailer,Delhi,TVS Automobile Solutions Ltd,Private Equity,20770463.751474757,2016-11-06
AutoSense,Technology,Data Analytics based Customer Management Services,Delhi,TVS Automobile Solutions Ltd,Private Equity,20770463.751474757,2016-11-06
Redsun Telematics,Consumer Internet,Internet of Things Platform,Chennai,TVS Automobile Solutions Ltd,Private Equity,20770463.751474757,2016-11-06
KhanaGadi,Consumer Internet,Online Food Delivery for Train Travelers,Jaipur,50K Ventures,Seed Funding,20770463.751474757,2016-06-13
Bombay Shirt Company,E-commerce,Online custom Shirt retailer,Mumbai,Undisclosed Investors,Private Equity,1000000.0,2016-06-13
Matrubharti,Consumer Internet,e-Book Publisher,Unknown,Viridian Capital,Seed Funding,30000.0,2016-06-13
EdTechReview,Consumer Internet,Education based online portal,Delhi,EVC Ventures,Seed Funding,20770463.751474757,2016-06-14
Bonhomia,Food & Beverage,Premium Tea & Coffee Capsules maker,Delhi,Valpro Capital and existing investors,Private Equity,1500000.0,2016-06-14
Gobolt,Logistics,B2B Logistics provider,Delhi,MCube8,Seed Funding,20770463.751474757,2016-06-14
Jivox,Technology,Data Driven Advertising platform,Bengaluru,"You & Mr Jones, Fortisure Ventures, Diaz Nesamoney",Private Equity,6000000.0,2016-06-14
Sminq,Consumer Internet,Queue management Mobile app,Pune,"Saama Capital, Blume Ventures & Vaibhav Domkundwar",Seed Funding,1000000.0,2016-06-14
CureJoy,Consumer Internet,Online Alternative health community platform,Bengaluru,Accel Partners India,Private Equity,4400000.0,2016-06-14
Oneway.cab,Consumer Internet,Taxi Rental Platform,Vadodara,Indian Angel Network,Seed Funding,450000.0,2016-06-15
GrabOnRent,E-commerce,On-demand product rental marketplace,Bengaluru,IvyCap Ventures and Unicorn India Ventures,Private Equity,20770463.751474757,2016-06-15
Diro Labs,Consumer Internet,Contact Management Mobile App,Delhi,Info Edge (India) Ltd,Private Equity,450000.0,2016-06-16
Unnati Helpers,Consumer Internet,Help Hiring Platform,Gurugram,Info Edge (India) Ltd,Private Equity,600000.0,2016-06-16
Athletto,Consumer Internet,Sports Venue discovery and booking platform,Bengaluru,Atul Ingle,Seed Funding,20770463.751474757,2016-06-16
Saavn,Consumer Internet,Web/Mobile Music Streaming service,United States,Guy Oseary,Private Equity,100000000.0,2016-06-16
Voonik,E-commerce,Online Women xe2 x80 x99s Fashion Marketplace,Bengaluru,Sequoia Capital,Private Equity,20000000.0,2016-06-16
ThinkPhi,Technology,Sustainable Green Tech Solution developer,Mumbai,Nimmagadda Prasad,Seed Funding,20770463.751474757,2016-06-16
Cleartax,Consumer Internet,Online Tax Filing Platform,Delhi,"Ravi Adusumalli, SAIF Partners",Private Equity,12000000.0,2016-06-17
Silvan Innovation Labs,Technology,Home Automation Solutions,Bengaluru,Infuse Ventures,Private Equity,900000.0,2016-06-17
GreytHR,Technology,Payroll & HR Software Developer,Bengaluru,"New Enterprise Associates (NEA), Blume Ventures",Private Equity,5200000.0,2016-06-17
Duffl,E-commerce,Fashion Rental Marketplace,Bengaluru,BetOnIndia Technology Pvt Ltd,Seed Funding,20770463.751474757,2016-06-17
Byg,Consumer Internet,Fitness centre Discovery & Booking Mobile app,Bengaluru,"Sanjay Verma, Amit Khanna (LetsVenture)",Seed Funding,20770463.751474757,2016-06-17
Dipper,E-commerce,Freight Logistics Marketplace,Delhi,Undisclosed Investors,Seed Funding,20770463.751474757,2016-06-20
Qonfuse,Consumer Internet,Online Test Papers for competitive exams,Delhi,Hamraj Kumar,Seed Funding,20770463.751474757,2016-06-20
The Indian IRIS,Consumer Internet,Govt Policy Research & Information portal,Ahmedabad,Timbru Ventures,Seed Funding,20770463.751474757,2016-06-20
Onspoon,Consumer Internet,Online Platform for Event Sponsorship,Mumbai,Swan Angel Network,Seed Funding,150000.0,2016-06-21
REstate,Consumer Internet,Real Estate Platform,Bengaluru,Idein Ventures,Seed Funding,20770463.751474757,2016-06-21
Cleartrip,Consumer Internet,Online Travel Agency,Mumbai,"Concur Technologies, Gund Investment",Private Equity,20770463.751474757,2016-06-21
ProcMart,Consumer Internet,Online Procurement Marketplace,Noida,IndiaMart,Private Equity,20770463.751474757,2016-06-21
Celerix,Technology,Fintech Product Development & Services Startup,Bengaluru,Bitkemy Ventures,Seed Funding,400000.0,2016-06-21
NatureNama,Consumer Internet,Online Outdoors & travel,Mumbai,Unicorn Venture,Seed Funding,225000.0,2016-06-21
CyclopsMedtech,Technology,Medical Technology Provider,Bengaluru,CP Bothra,Seed Funding,20770463.751474757,2016-06-21
Syona Cosmetics,FMCG,Beauty Products & Training to Salons & Spas,Chennai,The Chennai Angels,Seed Funding,150000.0,2016-06-21
PrettySecrets,E-commerce,Women Lingerie Store,Mumbai,"RB Investments PTE Ltd, Orios Venture Partners",Private Equity,6000000.0,2016-06-21
SpiderG,Consumer Internet,Online invoice app for SMEs,Pune,"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravanan, Pravin Dongre, Mahendra Doshi",Seed Funding,150000.0,2016-06-22
FarEye,Technology,Logistics Management Software,Delhi,Saif Partners,Private Equity,3500000.0,2016-06-23
The Uolo,Consumer Internet,School Parent Communication App,Bengaluru,"Purvi Ventures, Rajul Garg, Vipin Arora",Seed Funding,210000.0,2016-06-23
Staqu,Technology,Artificial Intelligence based search platform,Gurugram,Indian Angel Network,Seed Funding,20770463.751474757,2016-06-23
Padhopadhao,Consumer Internet,Home Tutors search & Discovery,Delhi,Rise India,Private Equity,20770463.751474757,2016-06-23
Drivify,Consumer Internet,Professional Driver discovery & Booking Mobile app,Mumbai,"Jitendra Gupta, Pankaj Tripathi",Seed Funding,50000.0,2016-06-24
Pratilipi,Consumer Internet,Multi-Lingual self-publishing platform,Bengaluru,Nexus Venture Partners,Seed Funding,20770463.751474757,2016-06-24
ParaBlu,Technology,Cloud Data Security & Privacy Solutions,Bengaluru,Kalaari Capital,Seed Funding,500000.0,2016-06-24
Schedulers Logistics,Logistics,Cold Storage Logistics solutions,Mumbai,GVFL,Private Equity,6000000.0,2016-06-24
Leap India,Others,Supply Chain Equipment & Services provider,Mumbai,Mayfield Ventures,Private Equity,3000000.0,2016-06-24
KabadiExpress,Others,Free Door Step Scrap Pickup Service,Delhi,Undisclosed Investors,Seed Funding,148000.0,2016-06-24
YourDOST,Consumer Internet,Online counselling & Personal coaching platform,Bengaluru,"SAIF Partners, Aprameya Radhakrishnan, Phanindra Sama, Subba Rao Telidevara, Vibhu Garg, Paula Ravindra Mariwala, Gaurav Bhalotia",Seed Funding,1200000.0,2016-06-27
Gomalon,Consumer Internet,Online Spa & Salon discovery & Booking platform,Bengaluru,Undisclosed Investors,Seed Funding,100000.0,2016-06-27
Voler Cars,Consumer Internet,Self-Driven Car rental platform,Delhi,"Kanodia family, Amit Banka",Seed Funding,20770463.751474757,2016-06-27
Travelyaari,Consumer Internet,Online ticket booking platform,Bengaluru,GVFL Ltd,Private Equity,3000000.0,2016-06-27
FabHotels,Consumer Internet,Online Hotel aggregator & Booking platform,Gurugram,"Accel Partners, RB Investments",Private Equity,8000000.0,2016-06-28
Locanix,Technology,GPS based SaaS Solutions,Ahmedabad,Undisclosed Investors,Seed Funding,300000.0,2016-06-28
Lendingkart,Consumer Internet,Online Working Capital Business Loans Platform,Ahmedabad,"Bertelsmann India Investments, Mayfield India, Saama Capital, India Quotient",Private Equity,32000000.0,2016-06-28
Hello Tax,Consumer Internet,Online Tax Filing Platform,Delhi,Sanjeev Sinha,Seed Funding,295000.0,2016-06-28
MySuperBrain,Consumer Internet,Online Talent Discovery Platform for Kids,Hyderabad,Soniks Consulting,Seed Funding,20770463.751474757,2016-06-28
BlogBeats,Consumer Internet,Online Blogging Platform,Bengaluru,Undisclosed Investors,Seed Funding,20770463.751474757,2016-06-28
LetReach,E-commerce,ECommerce SAAS Solutions,Delhi,vCommission,Private Equity,100000.0,2016-06-29
TrendieApp,Technology,Visual Content Marketing,Kolkata,Harsh Vardhan Hada,Seed Funding,50000.0,2016-06-29
ImpactGuru,Consumer Internet,Crowdfunding Platform,Mumbai,Piyush Jain,Seed Funding,20770463.751474757,2016-06-29
Velvetcase,E-commerce,Online designer jewellery marketplace,Mumbai,"Uniqorn Ventures Fund, TV Mohandas Pai, S Somasegar",Private Equity,1500000.0,2016-06-29
Meru Cabs,Consumer Internet,Online/ Mobile Tax Cab booking,Mumbai,Brand Capital,Private Equity,25000000.0,2016-06-30
Campus Diaries,Consumer Internet,Student focussed Content Discovery portal,Bengaluru,Aarin Capital,Seed Funding,220000.0,2016-06-30
Scripbox,Consumer Internet,Online Mutual Fund Investment platform,Bengaluru,"Omidyar Network, Accel Partners & existing investors",Private Equity,2500000.0,2016-06-30
Biryani Blues,Food & Beverage,QSR Chain,Gurugram,Carpediem Capital & Others,Private Equity,368000.0,2016-06-30
MotoMojo,Consumer Internet,Mobile based Vehicle maintenance App,Mumbai,"Niloufer Dundh, Fauzan Rahim, Balamurugan Mani",Seed Funding,20770463.751474757,2016-01-05
Get My Parking,Technology,Parking Technology Platform,Delhi,The Chennai Angels,Seed Funding,376000.0,2016-01-05
Prescribez,Consumer Internet,Health Service Aggregator Platform,Pune,Ankush Mehta,Seed Funding,145000.0,2016-01-05
Airwood,Technology,Agri Data & Analytics Platform,Chennai,StartupXseed Ventures,Seed Funding,20770463.751474757,2016-02-05
MobiKwik,Consumer Internet,Mobile & Digital Wallet,Gurugram,"GMO Payment Gateway, MediaTek",Private Equity,50000000.0,2016-03-05
iDreamCareer,Consumer Internet,Career Planning Services Portal,Delhi,Brand Capital,Private Equity,20770463.751474757,2016-03-05
Zwayam,Consumer Internet,Online Recruitment Platform,Bengaluru,Undisclosed Investors,Seed Funding,250000.0,2016-03-05
BoiBanit,Consumer Internet,Online Food Delivery platform,Vadodara,Undisclosed Investors,Seed Funding,20770463.751474757,2016-03-05
Zuver,Consumer Internet,Car driver Discovery App,Mumbai,"Shruth & Smith Group, Hermes Group",Seed Funding,180000.0,2016-03-05
Prepathon,Education,Competitive Exam learning platform,Mumbai,Blume Ventures,Private Equity,20770463.751474757,2016-03-05
EasyRoads,Consumer Internet,Road Trip planning Mobile app,Mumbai,"Rohan Angrish, Hrishi Oberoi, Rahul Mehta, Kapil Hetamsaria, Pranav Dedhia",Seed Funding,200000.0,2016-04-05
Lenskart,E-commerce,Eyewear & Accessories etailer,Delhi,"International Finance Corp, TPG Growth, Adveq Management, IDG Ventures, Ratan Tata, Kris Gopalakrishnan",Private Equity,60000000.0,2016-04-05
Seclore,Technology,Enterprise Security Technology platform,Mumbai,"Sistema Asia Fund, Helion Venture, VentureEast, India Alternatives",Private Equity,12000000.0,2016-04-05
SolarTown,Technology,Solar Rooftop system installation company,Chennai,Grex.in,Seed Funding,200000.0,2016-04-05
Comarete,Technology,Telecom & Media IT services company,Pune,Grex.in,Seed Funding,200000.0,2016-04-05
MyDentistChoice,E-commerce,Medical Supplies eTailer,Hyderabad,Undisclosed Investors,Seed Funding,150000.0,2016-04-05
Active.ai,Technology,Intelligent Tech platform for Finance vertical,Singapore,Kalaari Capital Accelerator Program,Seed Funding,500000.0,2016-04-05
Affordplan,Technology,Affordable non-emergency medical service health plans,Delhi,Kalaari Capital Accelerator Program,Seed Funding,500000.0,2016-04-05
Indee,Consumer Internet,Web Video Streaming Platform,Bengaluru,Kalaari Capital Accelerator Program,Seed Funding,500000.0,2016-04-05
Unbxd,Technology,eCommerce product discovery software,Delhi,"IDG Ventures, Inventus Capital, Indian Angel Network",Private Equity,12500000.0,2016-05-05
WebAlligator,Consumer Internet,Cloud Based Software Solutions,Bengaluru,Undisclosed Investors,Seed Funding,375000.0,2016-05-05
EduAce Services,Education,Education Workshops & mentoring programs,Lucknow,MoMagic Technologies,Private Equity,1000000.0,2016-06-05
Meesho,E-commerce,Social commerce platform,Bengaluru,Rajul Garg & Others,Seed Funding,21422785.714285716,2016-06-05
Zebroads,Logistics,Logistics and Warehousing services,Hyderabad,Undisclosed Investors,Seed Funding,75000.0,2016-07-05
Locus,Technology,Logistics Intelligence platform,Bengaluru,"Exfinity Venture Partners, Blume Ventures, BeeNext, Rajesh Ranavat",Private Equity,2750000.0,2016-09-05
Toko Innovations,Consumer Internet,Children xe2 x80 x99s Entertainment Portal,Bengaluru,"Roopak Saluja, Vishal Khare",Seed Funding,450000.0,2016-09-05
Rentickle,E-commerce,"Furniture, appliances Portal",Delhi,"Manish Kheterpal, Vinay Mittal, Dinesh Mittal, Sandeep Gupta",Seed Funding,250000.0,2016-09-05
HealthifyMe,Consumer Internet,Health & Fitness App,Bengaluru,"IDG Ventures India, Inventus Capital, Blume Ventures",Private Equity,6000000.0,2016-10-05
Zarget,Consumer Internet,Conversion Rate Optimization Platform,Chennai,"Accel Partners, Matrix Partners, Girish Mathrubootham",Private Equity,1500000.0,2016-10-05
InnoNano Research,Technology,Clean Water Technology,Chennai,NanoHoldings,Private Equity,18000000.0,2016-10-05
SchoolWear,E-commerce,School Uniform & Supplies Marketplace,Mumbai,Undisclosed Investors,Seed Funding,1500000.0,2016-10-05
Swiggy,Consumer Internet,Food Delivery Platform,Bengaluru,"Norwest Venture Partners, DST Global, Accel Partners",Private Equity,7000000.0,2016-10-05
Zenify,Consumer Internet,Home rental Discovery & Booking Portal,Bengaluru,Undisclosed Investors,Private Equity,900000.0,2016-11-05
Faircent,Consumer Internet,Online Peer to Peer Lending platform,Gurugram,"JM Financial Products Ltd, Arun Tadanki, Doreswamy Nandkishore, Kshitij Jain",Private Equity,20770463.751474757,2016-11-05
Fractal Analytics,Technology,Data Analytics Company,Mumbai,Khazanah Nasional Berhad,Private Equity,100000000.0,2016-11-05
Unacademy,Consumer Internet,Free Online Education Platform,Bengaluru,"Blume Ventures, Rajan Anandan, Sumit Jain, Aprameya Radhakrishna, Sujeet Kumar, Phanindra Sama",Seed Funding,500000.0,2016-12-05
Capital Float,Consumer Internet,Online Lending Platform,Bengaluru,"Creation Investments Capital Management, SAIF Partners, Sequoia Capital, Aspada Ventures",Private Equity,25000000.0,2016-12-05
Life Circle,Healthcare,Senior Healthcare Services,Hyderabad,GROUPE SOS,Private Equity,150000.0,2016-12-05
Dream Wallets,Consumer Internet,Online Crowdfunding platform,Jaipur,"Rakesh Gupta, Aditya Aggarwal, Siddharth Banerjee, Vikas Ranjan, Anshul Jindal, Sunil Koul, and Sanjeev Agrawal",Seed Funding,20770463.751474757,2016-12-05
ShabdNagari,Consumer Internet,Hindi social networking portal,Kanpur,ah! Ventures,Seed Funding,20770463.751474757,2016-12-05
Galleri5,Consumer Internet,Visual Content Discovery platform,Bengaluru,"Phanindra Sama, Raghunandan G",Seed Funding,20770463.751474757,2016-12-05
Derbii,Logistics,Carpooling Services,Gurugram,Anurag Chauhan,Seed Funding,20770463.751474757,2016-12-05
Stayzilla,Consumer Internet,Budget Room Aggregator Booking platform,Chennai,"Matrix Partners, Nexus Ventures",Private Equity,13500000.0,2016-05-13
WoW Express,Logistics,E-Commerce Logistics Solutions,Mumbai,Undisclosed Investors,Private Equity,2200000.0,2016-05-13
Smartivity,E-commerce,Smart Learning products,Delhi,"S Chand, AdvantEdge Partners",Private Equity,1000000.0,2016-05-16
BedBathMore,Consumer Internet,Home Decor eMarketplace,Mumbai,"Kinnevik Group, Rocket Internet",Private Equity,20770463.751474757,2016-05-16
